,Bigram,Frequency
0,let know,14
1,let ensure,9
2,work related,8
3,shared spaces,8
4,keeping personal,6
5,personal items,6
6,make sure,6
7,working hours,6
8,helps maintain,5
9,maintaining professional,5
10,moving forward,5
11,feel free,5
12,don think,5
13,good time,4
14,information provided,4
15,help maintain,4
16,maintain professional,4
17,helps ensure,4
18,help understand,4
19,let discuss,4
